CUSIP,SCD ID
005643002,IN1000018
008368102,AGAM US
00899D923,FS1000004
01199X924,FS1000014
01399U993,FS1000099
01899J928,PR1000040
01899R938,PR1000041
01999C9E6,LL1000003
01999P931,FS1000191
03499B982,FS1000020
03799B9W6,LL1000001
03799P939,FS1000021
03799X965,FS1000017
03899N958,FS1000019
03899S940,FS1000022
039998919,FS1000018
03999D9D2,PD1000023
03999D9D2,PD1000093
03999J949,.AG-W OTC
040995920,FS1000027
040997942,FS1000025
04099N913,FS1000024
04099N947,FS1000028
04099N996,FS1000026
04399C9R7,PR1000005
04399N951,PR1000006
04599E9E0,LL1000000
04599F972,PR1000004
05099F958,FS1000023
05399M927,PR1000046
05899K942,FS1000033
05899M963,FS1000032
08499E910,FS1000036
08499E928,FS1000035
09099J986,FS1000034
09299N944,FS1000037
097891915,PR1000042
099999948,FS1000211
09999X911,FS1000209
11599A9D5,PD1000002
12499J945,FS1000046
12499V930,FS1000167
12499Z915,FS1000047
126999903,FS1000071
127999944,FS1000123
12899L961,FS1000066
12899Q929,FS1000065
12899Q986,FS1000067
13099W997,FS1000162
13199K919,PR1000014
143995942,FS1000045
15099A982,FS1000202
15299D984,FS1000049
15299D992,FS1000048
17899B913,FS1000054
17899B921,FS1000055
17899D943,FS1000057
17899D950,FS1000056
17965L100,FS1000203
179996962,FS1000059
179996988,FS1000058
17999N9A6,FS1000204
19399X916,FS1000060
211452107,PR1000016
219999901,PD1000000
219999976,FS1000193
219999984,PR1000017
219999992,IN1000003
22599B957,FS1000064
22599W910,PR1000063
22599W910,SPR US
252999925,FS1000072
25699B926,DG US
2699979A2,PD1000003
28099H931,FS1000073
28099J911,FS1000078
28099M922,FS1000206
28099M930,FS1000207
28099N953,FS1000075
30899A991,FS1000095
315419AA9,GSM 9.375 1450
31899L946,FS1000081
31899L979,FS1000084
32299A9Q5,FS1000194
32299B926,FS1000080
331266908,IN1000002
35099R983,FS1000208
35099R991,FS1000205
35999F949,FS1000083
36299E988,FS1000154
36899Y947,GNRC US
38499D9X9,LL1000002
39899A9J0,PD1000015
40499J953,FS1000091
40499M964,IN1000014
421996992,FS1000086
42199K959,FS1000089
423994938,FS1000087
42399C989,FS1000088
42399T966,FS1000090
43199X918,FS1000008
43499E917,FS1000094
446998973,FS1000098
461191991,FS1000093
465685105,ITC US
48199N943,FS1000097
48399F922,FS1000108
48399G912,FS1000109
48499A963,FS1000110
48499E924,FS1000213
490995917,FS1000100
490995925,FS1000195
49099A924,FS1000168
49899J935,FS1000101
49899K932,FS1000102
50212V100,LPLA US
524919909,PR1000026
52499W959,FS1000170
528996986,FS1000111
53299K971,FS1000112
535999924,FS1000115
53599A988,FS1000119
53599C919,FS1000113
53599C935,FS1000116
53599C950,FS1000114
53599E923,FS1000118
542992938,FS1000120
550021109,FS1000198
550372AA4,LUNC 7.5 2513
550372AB2,LUNC 7.875 2695
55399U924,FS1000134
55399Y926,FS1000121
55399Y934,FS1000129
55599K916,FS1000128
55599K932,FS1000132
55599K940,FS1000133
55699A958,IN1000006
57699C935,FS1000124
57699C968,FS1000125
57699E931,FS1000126
582999926,IN1000008
598996999,FS1000131
59899A933,FS1000130
60740F105,MINI US
612370908,AIA NZ
620088906,TCL AU
62899E921,FS1000074
62899E962,FS1000077
62899E970,FS1000076
62899G926,FS1000166
63599N906,PR1000028
64799B957,FS1000137
65299G917,FS1000199
65299R947,FS1000138
65299R962,FS1000200
65999R940,PR1000029
68299U936,FS1000139
68899D9K0,PD1000017
68899D9K0,PD1000095
68899D9K0,PD1000242
68899V938,OSK-W OTC
68899V938,OSK-W3 OTC
69399D9R8,PD1000014
69799A982,IN1000011
69799APUG,IN1000012
70299B934,FS1000146
703993923,FS1000062
703996942,FS1000063
703998963,FS1000148
70399A950,FS1000152
70399C931,FS1000153
70399Q963,FS1000150
70399Q971,FS1000151
70399Q989,FS1000149
71399C962,FS1000155
716745AA2,PPHN 6.75 0514
71715N106,FS1000210
737010108,PTLA US
74499W904,FS1000158
74899Y997,FS1000159
750469207,RDUS US
75605E910,RLGY US
76199H921,FS1000161
76299D945,FS1000160
77099A917,FS1000182
77099A925,FS1000179
77099A966,FS1000180
77099B972,FS1000181
77099B980,FS1000201
790849103,STJ US
81619Q105,SEM US
81799L9G5,PD1000019
81799L9H3,PD1000018
82799P917,FS1000164
82799Y942,FS1000163
83099Q969,FS1000165
86699C9D2,PD1000025
86799K927,PR1000033
87099X932,PR1000015
87399J9T3,PD1000004
878997998,FS1000169
882419914,PR1000021
884997917,FS1000177
88499B959,FS1000176
8939979R9,PD1000001
895996916,FS1000183
895996981,FS1000184
90399B659,PR1000039
90699B946,PR1000038
90899A946,PR1000037
910LAVII6,PD1000006
910MHE904,FS1000175
910QEQ901,FS1000188
910QRK900,FS1000006
910QYT903,FS1000070
910RAC904,FS1000174
910RCY904,FS1000030
910REA904,FS1000040
910RNF903,FS1000029
910RNH909,FS1000010
910RNJ905,FS1000013
910RNK902,FS1000015
910RNL900,FS1000050
910RNM908,FS1000003
910RNP901,FS1000104
910RUD900,FS1000001
910RXB901,FS1000005
910UHZ909,IN1000015
910UZB902,IN1000016
910UZC900,IN1000017
91199C939,PR1000022
912BBK908,FS1000052
913QTD901,PR1000000
913QTR900,FS1000117
913YSEII4,FS1000127
91499C9N2,PD1000021
914DLM907,FS1000092
914VJH901,FS1000085
914YDC902,IN1000001
914YGD907,PR1000008
914YGE905,PR1000009
916DNU905,FS1000135
916DNV903,FS1000136
916LHQ903,PR1000031
916QWX900,FS1000185
917FVR907,FS1000142
917FWW905,FS1000107
917NDH902,FS1000106
917PGN901,FS1000007
917VVQ904,FS1000145
917WPL900,FS1000096
917YEL908,FS1000147
918BDF901,IN1000005
918DHM908,FS1000044
918GBR906,IN1000004
918XTS908,FS1000051
919ADF902,PR1000010
919PBN904,PR1000020
919UQE998,FS1000031
919VMH902,PR1000036
92599P991,FS1000186
92699Q964,PR1000035
929EGR903,FS1000192
929PTA901,PR1000003
929QCB905,PR1000011
929SNB909,PR1000044
929SWV905,IN1000010
929TCN903,FS1000196
929TCYII0,PD1000008
929TQG903,FS1000197
93799R951,FS1000187
939AMKII8,PD1000020
939BFYII4,PD1000016
939BTDII5,PD1000009
939BTEII3,PD1000010
939BXBII4,PD1000013
939MVL909,PR1000045
939QNYII2,PD1000022
94799F955,FS1000189
94799X956,FS1000190
980PPDII6,PD1000012
980PPEII4,PD1000007
980PPVII6,PD1000011
981EHS905,FS1000212
981JKP906,PR1000047
981JPW906,FS1000214
981JRHII8,PD1000024
981JRHII8,PD1000094
981NMK906,PR1000048
990CZF906,FS1000173
990URY904,FS1000172
991BMM906,FS1000156
991CTB901,FS1000061
991JME907,PR1000013
991MFV900,PR1000030
991NNK903,FS1000144
991WQQ907,IN1000000
991YVA902,FS1000069
992RNG902,PR1000023
993EDL900,IN1000013
993GDE901,PR1000007
993SSQ902,FS1000016
993TSH900,FS1000053
993XRJII9,PR1000027
994WGP907,FS1000122
995KDL904,FS1000103
996AXL903,FS1000082
996BXR908,FS1000009
996JKS903,FS1000157
997DKG901,FS1000178
997HRE900,FS1000000
997KGK901,FS1000143
997QXA901,PR1000018
997QXV905,PR1000002
997WRN907,PR1000162
999LCC909,FS1000041
999ZTM908,PR1000012
99NAWQ904,FS1000038
99NDJU904,FS1000042
99NLSH905,FS1000171
99NMNN905,FS1000140
99NPYN906,FS1000011
99TCNK907,IN1000009
99UDCR900,FS1000012
99UFPK906,IN1000007
99UGJL909,FS1000141
99UNJJ909,FS1000002
99URZQ906,FS1000039
99UUKH905,FS1000079
99ZCZB907,FS1000068
99ZDGR901,FS1000043
99ZHQW900,FS1000105
99ZMHD901,PR1000025
99ZPWY901,PR1000043
99ZWQN907,PR1000001
99ZYQF900,VTW GR
ACI0004L4,FS1000215
ACI0006X6,FS1000216
ACI001A76,FS1000217
CBP0CRNCY,CBP0CRNCY
CNV2CRNCY,CNV2CRNCY
CPB2CRNCY,CPB2CRNCY
CPD1CRNCY,CPD1CRNCY
CPD2CRNCY,CPD2CRNCY
CPD4CRNCY,CPD4CRNCY
CPF0CRNCY,CPF0CRNCY
CPH0CRNCY,CPH0CRNCY
CPO2CRNCY,CPO2CRNCY
CPP0CRNCY,CPP0CRNCY
CPP1CRNCY,CPP1CRNCY
CPP3CRNCY,CPP3CRNCY
CPS0CRNCY,CPS0CRNCY
CPU2CRNCY,CPU2CRNCY
CPY2CRNCY,CPY2CRNCY
CQM1CRNCY,CQM1CRNCY
CQM2CRNCY,CQM2CRNCY
CQM3CRNCY,CQM3CRNCY
ETD0CRNCY,ETD0CRNCY
ETE0CRNCY,ETE0CRNCY
FS1000219,FS1000219
FS1000220,FS1000220
FS1000276,FS1000276
FS1000277,FS1000277
FS1000318,FS1000318
FS1000320,FS1000320
FS1000323,FS1000323
GRB0CRNCY,GRB0CRNCY
GRH0CRNCY,GRH0CRNCY
IVE2CRNCY,IVE2CRNCY
L1G2CRNCY,L1G2CRNCY
L1H1CRNCY,L1H1CRNCY
LGR1CRNCY,LGR1CRNCY
LGR2CRNCY,LGR2CRNCY
LGR4CRNCY,LGR4CRNCY
LGR6CRNCY,LGR6CRNCY
LGR7CRNCY,LGR7CRNCY
LGR8CRNCY,LGR8CRNCY
LHD1CRNCY,LHD1CRNCY
LHD2CRNCY,LHD2CRNCY
NT1GCRNCY,NT1GCRNCY
NT1HCRNCY,NT1HCRNCY
NT1ICRNCY,NT1ICRNCY
NT2FCRNCY,NT2FCRNCY
NT2PCRNCY,NT2PCRNCY
PR1000053,PR1000053
,
